ID,WF,Time,NWP1_00h_D-2_U,NWP1_00h_D-2_V,NWP1_00h_D-2_T,NWP1_06h_D-2_U,NWP1_06h_D-2_V,NWP1_06h_D-2_T,NWP1_12h_D-2_U,NWP1_12h_D-2_V,NWP1_12h_D-2_T,NWP1_18h_D-2_U,NWP1_18h_D-2_V,NWP1_18h_D-2_T,NWP1_00h_D-1_U,NWP1_00h_D-1_V,NWP1_00h_D-1_T,NWP1_06h_D-1_U,NWP1_06h_D-1_V,NWP1_06h_D-1_T,NWP1_12h_D-1_U,NWP1_12h_D-1_V,NWP1_12h_D-1_T,NWP1_18h_D-1_U,NWP1_18h_D-1_V,NWP1_18h_D-1_T,NWP1_00h_D_U,NWP1_00h_D_V,NWP1_00h_D_T,NWP1_06h_D_U,NWP1_06h_D_V,NWP1_06h_D_T,NWP1_12h_D_U,NWP1_12h_D_V,NWP1_12h_D_T,NWP1_18h_D_U,NWP1_18h_D_V,NWP1_18h_D_T,NWP2_00h_D-2_U,NWP2_00h_D-2_V,NWP2_12h_D-2_U,NWP2_12h_D-2_V,NWP2_00h_D-1_U,NWP2_00h_D-1_V,NWP2_12h_D-1_U,NWP2_12h_D-1_V,NWP2_00h_D_U,NWP2_00h_D_V,NWP2_12h_D_U,NWP2_12h_D_V,NWP3_00h_D-2_U,NWP3_00h_D-2_V,NWP3_00h_D-2_T,NWP3_06h_D-2_U,NWP3_06h_D-2_V,NWP3_06h_D-2_T,NWP3_12h_D-2_U,NWP3_12h_D-2_V,NWP3_12h_D-2_T,NWP3_18h_D-2_U,NWP3_18h_D-2_V,NWP3_18h_D-2_T,NWP3_00h_D-1_U,NWP3_00h_D-1_V,NWP3_00h_D-1_T,NWP3_06h_D-1_U,NWP3_06h_D-1_V,NWP3_06h_D-1_T,NWP3_12h_D-1_U,NWP3_12h_D-1_V,NWP3_12h_D-1_T,NWP3_18h_D-1_U,NWP3_18h_D-1_V,NWP3_18h_D-1_T,NWP3_00h_D_U,NWP3_00h_D_V,NWP3_00h_D_T,NWP3_06h_D_U,NWP3_06h_D_V,NWP3_06h_D_T,NWP3_12h_D_U,NWP3_12h_D_V,NWP3_12h_D_T,NWP3_18h_D_U,NWP3_18h_D_V,NWP3_18h_D_T,NWP4_00h_D-2_U,NWP4_00h_D-2_V,NWP4_00h_D-2_CLCT,NWP4_12h_D-2_U,NWP4_12h_D-2_V,NWP4_12h_D-2_CLCT,NWP4_00h_D-1_U,NWP4_00h_D-1_V,NWP4_00h_D-1_CLCT,NWP4_12h_D-1_U,NWP4_12h_D-1_V,NWP4_12h_D-1_CLCT,NWP4_00h_D_U,NWP4_00h_D_V,NWP4_00h_D_CLCT,NWP4_12h_D_U,NWP4_12h_D_V,NWP4_12h_D_CLCT,NWP1_U,NWP1_V,NWP1_T,NWP2_U,NWP2_V,NWP3_U,NWP3_V,NWP3_T,NWP4_U,NWP4_V,NWP4_CLCT
1,WF1,2018-05-01 01:00:00,,,,,,,,,,,,,,,,,,,,,,,,,-2.248,-3.258,286.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.255,-0.2898,82.56,,,,-2.248046875,-3.2578125,286.5,,,,,,1.2548828125,-0.289794921875,82.5625
2,WF1,2018-05-01 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,-2.434,-1.446,286.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49,-0.4133,100.0,,,,-2.43359375,-1.4462890625,286.25,,,,,,2.490234375,-0.413330078125,100.0
3,WF1,2018-05-01 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,3.365,-3.06,285.8,,,,,,,,,,,,,,,,,,2.611,-2.342,,,-2.953,-2.277,287.0,-0.09827,1.71,287.0,3.826,2.893,286.0,-1.889,0.3262,287.0,-5.82,2.182,287.0,-5.816,2.223,287.0,-3.797,-0.8535,287.0,-1.707,-1.461,286.0,-1.149,-2.275,286.0,,,,,,,,,,,,,,,,,,,,,,0.997,-1.415,98.4,,,,3.365234375,-3.060546875,285.75,2.611328125,-2.341796875,-1.1494140625,-2.275390625,286.0,0.9970703125,-1.4150390625,98.375
4,WF1,2018-05-01 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,,3.707,-6.22,284.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6895,-0.9614,94.9,,,,3.70703125,-6.21875,284.75,,,,,,0.689453125,-0.96142578125,94.875
5,WF1,2018-05-01 05:00:00,,,,,,,,,,,,,,,,,,,,,,,,,3.812,-5.445,284.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.291,-0.295,95.9,,,,3.8125,-5.4453125,284.5,,,,,,0.291015625,-0.294921875,95.875
6,WF1,2018-05-01 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,4.77,-4.938,284.5,4.64,-4.996,284.0,,,,,,,,,,,,,,,4.312,-3.666,,,-2.02,-2.607,285.0,2.67,-0.536,285.0,3.807,-0.287,285.0,0.319,-3.316,285.0,-3.516,0.4324,286.0,-2.963,0.729,286.0,-3.297,-0.8076,286.0,-1.133,-1.48,286.0,0.5674,-2.494,285.0,0.741,-3.613,285.0,,,,,,,,,,,,,,,,,,,0.2651,-0.1707,65.4,,,,4.640625,-4.99609375,284.0,4.3125,-3.666015625,0.7412109375,-3.61328125,285.0,0.26513671875,-0.170654296875,65.375
7,WF1,2018-05-01 07:00:00,,,,,,,,,,,,,,,,,,,,,,,,,3.428,-5.56,284.5,2.678,-5.797,284.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,-0.1285,75.2,,,,2.677734375,-5.796875,284.25,,,,,,1.23046875,-0.1285400390625,75.1875
8,WF1,2018-05-01 08:00:00,,,,,,,,,,,,,,,,,,,,,,,,,1.822,-5.56,285.2,0.778,-5.266,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.703,-0.0728,90.94,,,,0.77783203125,-5.265625,285.0,,,,,,2.703125,-0.07281494140625,90.9375
9,WF1,2018-05-01 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,1.466,-5.027,286.0,1.3955,-4.36,286.0,,,,,,,,,,,,,,,0.7524,-3.924,,,1.284,-2.73,288.0,3.748,-0.8335,287.0,3.115,-0.689,287.0,2.63,-3.117,287.0,1.011,-0.2135,288.0,1.589,-0.0895,288.0,-0.4539,-1.231,288.0,1.836,-1.541,287.0,1.385,-2.97,287.0,1.258,-3.65,286.0,,,,,,,,,,,,,,,,,,,3.205,-0.7915,100.0,,,,1.3955078125,-4.359375,286.0,0.75244140625,-3.923828125,1.2578125,-3.650390625,286.0,3.205078125,-0.79150390625,100.0
10,WF1,2018-05-01 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,1.751,-4.707,287.2,1.905,-2.871,287.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.258,-2.164,96.9,,,,1.9052734375,-2.87109375,287.25,,,,,,3.2578125,-2.1640625,96.875
