ID,Production
1,0.02
2,0.07
3,0.22
4,0.39
5,0.41
6,0.25
7,0.11
8,0.22
9,0.13
10,0.2
11,0.27
12,1.25
13,1.68
14,1.17
15,0.88
16,0.61
17,0.46
18,0.36
19,0.1
20,0.17
21,0.24
22,1.11
23,0.93
24,1.29
25,2.0
26,2.36
27,2.97
28,2.4
29,2.74
30,2.81
31,2.32
32,2.04
33,2.69
34,2.41
35,2.36
36,2.29
37,2.37
38,3.03
39,4.09
40,4.04
41,3.94
42,4.07
43,4.59
44,4.26
45,4.56
46,6.66
47,6.67
48,6.41
49,6.4
50,5.95
51,5.39
52,5.11
53,5.03
54,7.18
55,6.64
56,7.05
57,6.96
58,6.63
59,6.28
60,8.3
61,9.0
62,9.4
63,9.13
64,9.5
65,9.49
66,9.31
67,9.44
68,9.46
69,9.52
70,9.41
71,8.89
72,8.68
73,9.01
74,7.99
75,6.89
76,6.55
77,5.47
78,5.81
79,3.17
80,2.0
81,1.28
82,1.11
83,0.91
84,0.74
85,0.64
86,1.06
87,0.9
88,0.4
89,0.63
90,0.72
91,0.92
92,2.06
93,2.14
94,1.47
95,1.0
96,1.48
97,0.31
98,0.18
99,0.28
100,0.0
101,0.04
102,0.02
103,0.02
104,0.03
105,0.03
106,0.0
107,0.07
108,0.21
109,0.48
110,0.74
111,0.77
112,0.66
113,0.11
114,0.11
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.04
121,0.11
122,0.12
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.03
134,0.07
135,0.05
136,0.07
137,0.07
138,0.45
139,0.0
140,0.3
141,0.13
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.04
156,0.16
157,0.34
158,0.31
159,0.32
160,0.27
161,0.0
162,0.34
163,0.0
164,0.0
165,0.0
166,0.0
167,0.01
168,0.03
169,0.03
170,0.03
171,0.11
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.01
179,0.0
180,0.0
181,0.5
182,0.59
183,0.58
184,0.53
185,0.21
186,0.04
187,0.0
188,0.13
189,2.15
190,2.0
191,3.03
192,2.88
193,2.98
194,2.15
195,2.21
196,2.51
197,2.31
198,1.47
199,1.82
200,1.05
201,0.93
202,0.48
203,0.16
204,0.04
205,0.02
206,0.04
207,1.47
208,0.91
209,0.93
210,0.6
211,0.01
212,0.0
213,0.0
214,0.11
215,0.0
216,0.0
217,0.21
218,1.91
219,3.25
220,5.63
221,6.26
222,3.9
223,2.47
224,2.49
225,2.12
226,2.37
227,2.54
228,2.36
229,1.69
230,2.5
231,3.52
232,4.94
233,7.14
234,6.99
235,6.39
236,7.96
237,7.74
238,7.14
239,6.52
240,5.13
241,3.74
242,3.64
243,3.83
244,2.48
245,1.9
246,1.58
247,0.23
248,0.02
249,0.03
250,0.0
251,0.0
252,0.42
253,0.46
254,0.43
255,0.48
256,0.33
257,0.31
258,0.39
259,0.36
260,0.18
261,0.04
262,0.0
263,0.01
264,0.14
265,0.2
266,0.65
267,0.64
268,0.25
269,0.17
270,0.1
271,0.38
272,1.03
273,2.02
274,2.87
275,3.72
276,4.26
277,3.92
278,4.05
279,5.41
280,4.77
281,4.68
282,3.87
283,3.91
284,2.97
285,2.83
286,0.96
287,0.44
288,0.77
289,0.59
290,2.06
291,3.6
292,3.25
293,3.35
294,5.01
295,6.7
296,7.67
297,8.87
298,8.72
299,8.68
300,9.76
301,9.69
302,9.52
303,9.8
304,9.25
305,9.23
306,8.57
307,7.84
308,5.27
309,4.78
310,3.72
311,3.05
312,2.34
313,2.25
314,2.35
315,2.09
316,1.0
317,3.14
318,4.95
319,4.31
320,2.28
321,3.08
322,4.32
323,3.06
324,4.31
325,5.08
326,4.28
327,3.76
328,1.93
329,0.79
330,1.49
331,3.3
332,3.41
333,2.3
334,2.38
335,3.06
336,2.36
337,2.5
338,1.3
339,2.12
340,1.81
341,1.91
342,1.59
343,1.6
344,1.94
345,3.15
