site_id,building_id,primary_use,square_feet,year_built,floor_count
1,105,Education,50623,nan,5.0
1,106,Education,5374,nan,4.0
1,107,Education,97532,2005,10.0
1,108,Education,81580,1913,5.0
1,109,Education,56995,1953,6.0
1,110,Education,27814,2006,8.0
1,111,Education,118338,1909,7.0
1,112,Education,32206,nan,6.0
1,113,Education,100481,1958,9.0
1,114,Education,139683,1958,13.0
1,115,Education,129716,1968,6.0
1,116,Education,37265,nan,5.0
1,117,Education,15489,2004,4.0
1,118,Education,138316,1960,8.0
1,119,Education,91149,2007,7.0
1,120,Education,68211,1976,7.0
1,121,Education,150318,1906,9.0
1,122,Education,83043,1991,6.0
1,123,Education,61204,1989,6.0
1,124,Education,38319,1900,6.0
1,125,Education,16802,1995,6.0
1,126,Education,21539,2004,5.0
1,127,Lodging/residential,27071,nan,6.0
1,128,Lodging/residential,102774,1956,7.0
1,129,Lodging/residential,102957,1968,7.0
1,130,Lodging/residential,62893,1960,16.0
1,131,Lodging/residential,66661,1930,7.0
1,132,Lodging/residential,83108,1995,8.0
1,133,Lodging/residential,64723,1960,8.0
1,134,Lodging/residential,49589,1998,8.0
1,135,Lodging/residential,66532,1967,10.0
1,136,Lodging/residential,56467,1960,9.0
1,137,Entertainment/public assembly,64024,1967,6.0
1,138,Public services,118231,nan,6.0
1,139,Public services,56629,1900,6.0
1,140,Office,50020,nan,11.0
1,141,Office,44789,1919,5.0
1,142,Office,45348,nan,4.0
1,143,Office,40085,nan,4.0
1,144,Office,57673,nan,5.0
1,145,Office,14219,nan,4.0
1,146,Office,31614,1956,8.0
1,147,Office,82548,1977,7.0
1,148,Office,174601,1960,12.0
1,149,Office,81881,1960,8.0
1,150,Office,65657,1955,8.0
1,151,Office,30495,1997,8.0
1,152,Office,10301,1970,2.0
1,153,Office,16092,1965,3.0
1,154,Office,34455,1907,8.0
1,155,Office,51688,1930,8.0
